,logical_PI_KFA45.K.value,peakLineDensity,WS_emittance_x,WS_emittance_y,deltaP_P_rms,WS_intensity
2017-10-20 12:15:55.900,0.003642,1.25,1.88266520776,2.22604212175,0.000834,79.01866
2017-10-20 12:16:36.700,0.003254,1.25,1.68445571762,1.88181568996,0.000834,76.44808
2017-10-20 12:17:17.500,0.003395,1.25,1.90728013091,2.19035406363,0.000834,76.67624
2017-10-20 12:17:58.300,0.003262,1.25,1.67630181725,1.99437747859,0.000834,76.49371
2017-10-20 12:18:39.100,0.003291,1.25,1.83562877604,2.22673558314,0.000834,75.68755
2017-10-20 12:19:19.900,0.003709,1.25,1.93808335055,2.03851300183,0.000834,73.93835
2017-10-20 12:20:00.700,0.003635,1.25,1.82819753195,2.34083261181,0.000834,74.82056
2017-10-20 12:20:41.500,0.003418,1.25,1.87664231122,2.09426634769,0.000834,75.93092
2017-10-20 12:21:22.300,0.003782,1.25,1.9651979044,2.16695878734,0.000834,78.15166
2017-10-20 12:22:03.100,0.003255,1.25,2.15702542632,2.52681253925,0.000834,77.81702
2017-10-20 12:22:43.900,0.003488,1.25,1.69820827933,2.18036007799,0.000834,74.15129
2017-10-20 12:23:24.700,0.003455,1.25,1.58122433755,1.98425439482,0.000834,77.13255
2017-10-20 12:24:05.500,0.003676,1.25,1.56777711967,1.98069739232,0.000834,77.9235
2017-10-20 12:24:46.300,0.003693,1.25,1.80149420512,2.34578512084,0.000834,76.14388
2017-10-20 12:25:27.100,0.003343,1.25,2.16705282765,2.37400789063,0.000834,79.29245
2017-10-20 12:25:58.300,0.003517,1.25,1.48667666079,2.05534753033,0.000834,76.79792
2017-10-20 12:26:39.100,0.003492,1.25,1.58679236537,1.97105036371,0.000834,77.55845
2017-10-20 12:27:29.500,0.003607,1.25,1.48660735208,1.98403202799,0.000834,77.08692
2017-10-20 12:28:10.300,0.003644,1.25,1.62596795059,2.13943861969,0.000834,78.80571
2017-10-20 12:28:51.100,0.00367,1.25,1.78893178428,2.26855158417,0.000834,76.37203
2017-10-20 12:29:31.900,0.003394,1.25,2.08273591801,2.27040526061,0.000834,75.6115
2017-10-20 12:30:12.700,0.003626,1.25,1.54194447192,1.97424814381,0.000834,76.20471
2017-10-20 12:30:53.500,0.003612,1.25,1.55197684828,1.91774872098,0.000834,80.12903
2017-10-20 12:31:34.300,0.003329,1.25,1.66372710575,2.08885696079,0.000834,74.62283
2017-10-20 12:32:15.100,0.003304,1.25,1.63104504475,2.10002210553,0.000834,80.02255
2017-10-20 12:32:55.900,0.003522,1.25,1.66332445927,2.20434314237,0.000834,79.68792
2017-10-20 12:33:36.700,0.003788,1.25,1.66574309016,2.0092462965,0.000834,77.39114
2017-10-20 12:34:17.500,0.003431,1.25,1.76978117017,2.12389855283,0.000834,78.25813
2017-10-20 12:34:58.300,0.003572,1.25,1.51710559966,1.95314016672,0.000834,78.3494
2017-10-20 12:36:04.300,0.003364,1.25,1.72878905491,2.10074612561,0.000834,79.24682
2017-10-20 12:36:45.100,0.003668,1.25,1.63278001132,1.99396274636,0.000834,76.21992
2017-10-20 12:37:25.900,0.003382,1.25,1.93867928555,2.301370802,0.000834,76.7675
2017-10-20 12:38:06.700,0.003527,1.25,1.54377892749,2.0296797132,0.000834,77.9235
2017-10-20 12:38:47.500,0.003638,1.25,1.42877628797,1.93580168325,0.000834,76.98045
2017-10-20 12:38:59.500,0.003748,1.25,1.85501791948,2.32364093086,0.000834,82.16724
2017-10-20 12:39:40.300,0.003787,1.25,1.71542874605,2.10005010432,0.000834,79.53582
2017-10-20 12:40:21.100,0.00355,1.25,1.84501542297,2.15766908131,0.000834,76.98045
2017-10-20 12:41:01.900,0.003315,1.25,1.42072641255,1.8860140056,0.000834,77.54324
2017-10-20 12:41:42.700,0.003321,1.25,2.10718224353,2.21278499514,0.000834,78.02998
2017-10-20 12:42:23.500,0.003384,1.25,2.30746723403,2.12428661713,0.000834,77.36071
2017-10-20 12:43:04.300,0.003719,1.25,1.8926586018,2.09326012521,0.000834,77.45198
2017-10-20 12:43:45.100,0.003382,1.25,1.74619782921,2.03985368004,0.000834,76.75229
2017-10-20 12:44:25.900,0.003704,1.25,1.76924804335,2.15990271065,0.000834,76.95004
2017-10-20 12:45:33.100,0.003376,1.25,1.65943553218,2.01540401877,0.000834,76.28076
2017-10-20 12:46:13.900,0.00377,1.25,1.96197667678,2.22721046979,0.000834,79.62708
2017-10-20 12:46:54.700,0.003437,1.25,1.89809891884,2.18287040852,0.000834,77.99956
2017-10-20 12:47:35.500,0.003349,1.25,1.76230016881,2.10153258439,0.000834,79.56624
2017-10-20 12:48:16.300,0.00338,1.25,2.01332699106,2.19552000958,0.000834,79.5054
2017-10-20 12:48:57.100,0.00359,1.25,1.94133273386,2.16178168712,0.000834,75.71797
2017-10-20 12:49:37.900,0.003508,1.25,1.56077321542,1.82637022889,0.000834,75.96134
2017-10-20 12:50:18.700,0.003438,1.25,1.71411641496,1.9116856617,0.000834,77.69534
2017-10-20 12:50:59.500,0.003713,1.25,1.81827601462,2.17746383459,0.000834,81.07208
2017-10-20 12:51:40.300,0.003572,1.25,1.7375623922,2.00199708145,0.000834,78.22771
2017-10-20 12:52:21.100,0.003552,1.25,1.58895286504,1.96370938944,0.000834,79.44456
2017-10-20 12:53:01.900,0.003763,1.25,1.68359076706,1.88259337837,0.000834,78.04518
2017-10-20 12:53:42.700,0.0034,1.25,1.63443485133,2.04900227788,0.000834,76.23513
2017-10-20 12:54:23.500,0.003671,1.25,1.94772408236,2.20538983563,0.000834,79.10992
2017-10-20 12:55:04.300,0.003669,1.25,1.55564403801,1.94987382726,0.000834,81.63487
2017-10-20 12:55:45.100,0.003454,1.25,1.55533707614,1.84609490837,0.000834,74.56198
2017-10-20 12:56:25.900,0.003562,1.25,1.75501653403,2.13022756155,0.000834,80.72224
2017-10-20 12:57:06.700,0.003279,1.25,1.4022800966,1.88039042658,0.000834,80.20508
2017-10-20 12:57:47.500,0.003267,1.25,2.37567773147,2.29155447861,0.000834,79.06429
2017-10-20 12:58:28.300,0.003541,1.25,2.22964089817,2.51254416401,0.000834,76.69145
2017-10-20 12:59:09.100,0.003684,1.25,1.57427474394,1.92843207382,0.000834,77.28466
2017-10-20 12:59:49.900,0.003773,1.25,1.54931333778,1.98699781048,0.000834,78.65361
2017-10-20 13:00:30.700,0.00331,1.25,1.74443408289,2.05724219605,0.000834,77.39114
2017-10-20 13:01:11.500,0.003563,1.25,2.27956082959,2.29224383463,0.000834,78.37981
2017-10-20 13:01:52.300,0.003505,1.25,1.6150814023,1.90163879093,0.000834,79.10992
2017-10-20 13:02:33.100,0.003242,1.25,1.76775381871,1.95850205172,0.000834,76.69145
2017-10-20 13:03:13.900,0.003429,1.25,2.32830985258,2.45175776741,0.000834,77.77139
2017-10-20 13:03:54.700,0.003329,1.25,1.62327642418,2.04092899516,0.000834,74.8814
2017-10-20 13:04:35.500,0.003692,1.25,2.1499914193,2.2725776663,0.000834,76.60019
2017-10-20 13:05:16.300,0.003415,1.25,1.64272762992,1.8608699579,0.000834,76.88919
2017-10-20 13:05:57.100,0.00354,1.25,1.57299161525,2.15019724579,0.000834,76.55456
2017-10-20 13:06:37.900,0.003331,1.25,1.69462468897,1.89279042723,0.000834,78.83613
2017-10-20 13:07:18.700,0.003582,1.25,2.16990636629,2.25626469004,0.000834,80.50929
2017-10-20 13:07:59.500,0.003387,1.25,1.55475080545,1.83474329533,0.000834,77.4976
2017-10-20 13:08:07.900,0.003612,1.25,1.9822388405,2.21205779024,0.000834,78.02998
2017-10-20 13:08:48.700,0.003632,1.25,1.44321214905,1.93144639998,0.000834,80.12903
2017-10-20 13:09:29.500,0.003666,1.25,1.70745485669,1.84523216832,0.000834,77.87787
2017-10-20 13:10:10.300,0.003495,1.25,1.7293984016,2.00650313497,0.000834,80.69182
2017-10-20 13:10:51.100,0.003284,1.25,1.61665509904,1.97219091058,0.000834,77.29987
2017-10-20 13:11:31.900,0.003367,1.25,2.24065221989,2.30925436073,0.000834,76.46329
2017-10-20 13:12:12.700,0.003761,1.25,2.29662428334,2.1090252025,0.000834,77.07171
