,WS_intensity,logical_PI_KFA45.K.value,peakLineDensity,WS_emittance_x,WS_emittance_y,deltaP_P_rms
2017-10-10 11:53:19.900,79.09471,0.003435,1.22,2.33250978391,1.90954771599,0.000834
2017-10-10 11:53:55.900,77.74098,0.003376,1.22,1.91246729143,1.63000503135,0.000834
2017-10-10 13:48:34.300,77.01087,0.003423,1.22,1.77723287002,1.23398675286,0.000834
2017-10-10 13:49:10.300,78.45587,0.003807,1.22,1.80109281915,1.81398399396,0.000834
2017-10-10 13:49:46.300,80.06819,0.003556,1.22,1.57132728177,1.2907675255,0.000834
2017-10-10 13:50:22.300,77.9235,0.003672,1.22,1.45347311464,1.43069533536,0.000834
2017-10-10 13:50:58.300,77.75618,0.003725,1.22,1.35150244195,1.08971840169,0.000834
2017-10-10 13:51:34.300,79.99213,0.003336,1.22,1.4112440685,1.12436507764,0.000834
2017-10-10 13:52:10.300,74.07524,0.00376,1.22,1.95046528755,1.59664644659,0.000834
2017-10-10 13:52:46.300,78.98824,0.003301,1.22,1.4780070263,1.21067257237,0.000834
2017-10-10 13:53:22.300,76.73708,0.003669,1.22,2.04470316854,1.55798622959,0.000834
2017-10-10 13:53:58.300,78.53192,0.00366,1.22,1.39368594169,1.39035842348,0.000834
2017-10-10 13:54:34.300,78.80571,0.003653,1.22,1.3545525157,1.03719834478,0.000834
2017-10-10 13:55:10.300,77.68014,0.003317,1.22,1.40689346778,1.4621080345,0.000834
2017-10-10 13:55:46.300,77.3455,0.003497,1.22,2.19417379951,1.46818170368,0.000834
2017-10-10 13:56:22.300,80.35719,0.003533,1.22,1.58355941353,1.55271910789,0.000834
2017-10-10 13:56:58.300,77.72577,0.003546,1.22,1.45513652928,1.38670923838,0.000834
2017-10-10 13:57:34.300,79.53582,0.003735,1.22,1.48894345628,1.2154052784,0.000834
2017-10-10 13:58:10.300,78.16687,0.00363,1.22,1.41424401503,1.13661701586,0.000834
2017-10-10 13:58:46.300,77.63451,0.003704,1.22,1.33696637623,1.08063230596,0.000834
2017-10-10 13:59:22.300,78.7905,0.003546,1.22,1.35680827471,1.09306804895,0.000834
2017-10-10 13:59:58.300,80.29635,0.003791,1.22,1.49761760171,1.3122663976,0.000834
2017-10-10 14:00:34.300,74.91182,0.003278,1.22,1.54943343273,1.3986893161,0.000834
2017-10-10 14:01:10.300,76.79792,0.003552,1.22,2.15224638284,1.36388633832,0.000834
2017-10-10 14:01:46.300,78.3494,0.003402,1.22,1.47578227704,1.24415566121,0.000834
2017-10-10 14:02:22.300,76.52413,0.003517,1.22,1.68632538381,1.13641987225,0.000834
2017-10-10 14:02:58.300,77.25423,0.003634,1.22,1.49303773371,1.28587259626,0.000834
2017-10-10 14:03:34.300,77.07171,0.00336,1.22,1.34515811148,1.15934838787,0.000834
2017-10-10 14:04:10.300,75.91572,0.00359,1.22,1.99304529055,1.29854331598,0.000834
2017-10-10 14:04:46.300,75.71797,0.003428,1.22,1.35486065411,1.32434645391,0.000834
2017-10-10 14:05:22.300,79.12513,0.003747,1.22,1.74344719405,1.36827904105,0.000834
2017-10-10 14:05:58.300,77.77139,0.003317,1.22,1.474883781,1.09157254929,0.000834
2017-10-10 14:06:34.300,78.02998,0.003299,1.22,2.16213233222,1.67246838186,0.000834
2017-10-10 14:07:10.300,77.39114,0.003792,1.22,2.128054718,1.40452256701,0.000834
2017-10-10 14:07:46.300,78.54713,0.003328,1.22,1.64447941435,1.41390501345,0.000834
2017-10-10 14:08:21.100,76.61539,0.003328,1.22,2.09004733825,1.61344509314,0.000834
2017-10-10 14:08:57.100,77.66492,0.00333,1.22,2.24411702762,1.42541526085,0.000834
2017-10-10 14:09:33.100,80.20508,0.003292,1.22,2.09752442229,2.20778339434,0.000834
2017-10-10 14:10:09.100,77.64971,0.003502,1.22,2.19263890229,1.61187327668,0.000834
2017-10-10 14:10:45.100,79.58144,0.003625,1.22,1.70104052467,1.38951035008,0.000834
2017-10-10 14:11:22.300,77.13255,0.003719,1.22,1.48068209285,1.2548071239,0.000834
2017-10-10 14:11:58.300,75.3225,0.003695,1.22,1.38561111816,1.33568089035,0.000834
2017-10-10 14:12:34.300,75.35293,0.003651,1.22,1.28388479697,1.09120376218,0.000834
2017-10-10 14:13:10.300,76.0374,0.003512,1.22,1.40154815211,1.16935312317,0.000834
2017-10-10 14:13:46.300,76.14388,0.003648,1.22,1.70451952934,1.63807447672,0.000834
2017-10-10 14:14:22.300,78.57755,0.003792,1.22,1.42966236852,1.02309730761,0.000834
2017-10-10 14:14:58.300,76.53934,0.003531,1.22,1.37811874145,0.936219767231,0.000834
2017-10-10 14:15:34.300,76.88919,0.003416,1.22,1.7282512525,1.78980208003,0.000834
2017-10-10 14:16:10.300,78.80571,0.003695,1.22,2.01939344955,1.43363831563,0.000834
2017-10-10 14:16:46.300,75.10956,0.003376,1.22,1.33794850727,1.27292669104,0.000834
2017-10-10 14:17:22.300,77.98434,0.003375,1.22,2.05577409214,1.56002017279,0.000834
2017-10-10 14:17:58.300,77.13255,0.003508,1.22,2.26942940514,1.85056765901,0.000834
2017-10-10 14:18:34.300,77.58887,0.003597,1.22,1.75768842819,1.62113638044,0.000834
2017-10-10 14:19:10.300,78.22771,0.003594,1.22,1.4648030907,1.0973844435,0.000834
2017-10-10 14:19:46.300,78.57755,0.003311,1.22,1.49905036808,1.30691691141,0.000834
2017-10-10 14:20:22.300,76.0526,0.003311,1.22,2.23549179937,1.70389074867,0.000834
2017-10-10 14:20:58.300,79.01866,0.003404,1.22,2.19583291188,2.16194925895,0.000834
2017-10-10 14:21:34.300,77.55845,0.003664,1.22,1.98267587354,2.18813057469,0.000834
2017-10-10 14:22:10.300,74.7445,0.003477,1.22,1.29706334343,1.10544111402,0.000834
2017-10-10 14:22:46.300,75.4594,0.003717,1.22,1.83914523689,1.6591618555,0.000834
2017-10-10 14:23:22.300,76.44808,0.003779,1.22,1.26552770281,0.953778775216,0.000834
2017-10-10 14:23:58.300,76.7675,0.00347,1.22,1.37175319553,1.18212902236,0.000834
2017-10-10 14:24:34.300,76.81313,0.00327,1.22,1.84224774199,1.72564315447,0.000834
2017-10-10 14:25:10.300,76.46329,0.003569,1.22,2.18749981268,2.20610786935,0.000834
2017-10-10 14:25:46.300,77.4824,0.003671,1.22,1.59245930076,1.19786036363,0.000834
2017-10-10 14:26:22.300,76.34161,0.003424,1.22,1.65531902402,0.96190932445,0.000834
2017-10-10 14:37:09.100,76.08303,0.003524,1.22,1.95379994141,1.31113082862,0.000834
